"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testConstructorInitializesFields","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","StrelnikovTests.StrelnikovTests","StrelnikovTests.StrelnikovTests","testConstructorInitializesFields"
"","0","transformSpecialtyReturnsStringTest[2]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","transformSpecialtyReturnsStringTest[2]"
"","1","testRankUpdate","","Tue Dec 17 18:45:03 MSK 2024","passed","Tue Dec 17 18:45:03 MSK 2024","","AntonovTest.AntonovTest","AntonovTest.AntonovTest","testRankUpdate"
"","0","testTakeBreak","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","petrovTests.petrovTest","petrovTests.petrovTest","testTakeBreak"
"","0","testSpeakOutput","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","StrelnikovTests.StrelnikovTests","StrelnikovTests.StrelnikovTests","testSpeakOutput"
"","0","testConstructedMeow","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","DemidovaTest.MeowTest","DemidovaTest.MeowTest","testConstructedMeow"
"","0","testSetWeightCorrect","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testSetWeightCorrect"
"","0","AgeDayAfterToday2","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakovleva.DeerTests","yakovleva.DeerTests","AgeDayAfterToday2"
"","4","testMethodOne","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","Tovstogan.TovstoganTests","Tovstogan.TovstoganTests","testMethodOne"
"","0","testParameterizedConstructor","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testParameterizedConstructor"
"","0","testAdd","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakimovichTests.CalculateTests","yakimovichTests.CalculateTests","testAdd"
"","1","testGetFoodReturnsFoodForPredators","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","irinabigtests.AnimalTests","irinabigtests.AnimalTests","testGetFoodReturnsFoodForPredators"
"","5","testPlayDecreasesWeight","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","StrelnikovTests.StrelnikovTests","StrelnikovTests.StrelnikovTests","testPlayDecreasesWeight"
"","3","AgeDayBeforeToday3","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakovleva.DeerTests","yakovleva.DeerTests","AgeDayBeforeToday3"
"","0","transformSpecialtyReturnsStringTest[3]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","transformSpecialtyReturnsStringTest[3]"
"","0","nameOfSpecialtyChangeAfterCallingTransformTest[0]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","nameOfSpecialtyChangeAfterCallingTransformTest[0]"
"","0","testCountWordsWithEmptyString","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","RavilovaTest.RavilovaTest","RavilovaTest.RavilovaTest","testCountWordsWithEmptyString"
"","0","testSnakeDefaultApple","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeDefaultApple"
"","0","testDrinkCoffeeMaxLevel","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","petrovTests.petrovTest","petrovTests.petrovTest","testDrinkCoffeeMaxLevel"
"","0","checkBirthdayReturnsAgeTest[1]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CheckBirthdayTests","gusevtests.CheckBirthdayTests","checkBirthdayReturnsAgeTest[1]"
"","0","testDefaultConstructor","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testDefaultConstructor"
"","0","testSnakeParameterizedKind","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeParameterizedKind"
"","0","testTriksWithAgeZero","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","smirnovaTest.SealTest","smirnovaTest.SealTest","testTriksWithAgeZero"
"","0","testSealParameterizedConstructor","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","smirnovaTest.SealTest","smirnovaTest.SealTest","testSealParameterizedConstructor"
"","0","checkBirthdayReturnsAgeTest[3]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CheckBirthdayTests","gusevtests.CheckBirthdayTests","checkBirthdayReturnsAgeTest[3]"
"","0","testAddPositiveAndNegativeNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BaranovTest.BaranovTest","BaranovTest.BaranovTest","testAddPositiveAndNegativeNumbers"
"","1","testPrintMessage","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","FokinTests.FokinTests","FokinTests.FokinTests","testPrintMessage"
"","1","testWriteCode","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","petrovTests.petrovTest","petrovTests.petrovTest","testWriteCode"
"","1","testGrowOlderIncreasesAge","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","StrelnikovTests.StrelnikovTests","StrelnikovTests.StrelnikovTests","testGrowOlderIncreasesAge"
"","2","testRatFeed","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatFeed"
"","0","testCalculateCourse_16To17Age_ReturnsOne","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CalculateCourseTests","gusevtests.CalculateCourseTests","testCalculateCourse_16To17Age_ReturnsOne"
"","10","testRatDescribe","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatDescribe"
"","0","testDefaultMouse","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ChernyshovaTests.MouseTest","ChernyshovaTests.MouseTest","testDefaultMouse"
"","0","testGetAnyPos","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","Yumashkin.YumashkinTests","Yumashkin.YumashkinTests","testGetAnyPos"
"","0","testRatSetWeightPositive","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatSetWeightPositive"
"","0","testRatConstructor","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatConstructor"
"","36","Проверка, что возраст корректный","","Tue Dec 17 18:45:03 MSK 2024","passed","Tue Dec 17 18:45:03 MSK 2024","","BaoTest.BaoTests","BaoTest.BaoTests","GetAge20Get20"
"","1","testAddPositiveNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BaranovTest.BaranovTest","BaranovTest.BaranovTest","testAddPositiveNumbers"
"","31","testTriksWithPositiveAge","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","smirnovaTest.SealTest","smirnovaTest.SealTest","testTriksWithPositiveAge"
"","1","transformSpecialtyReturnsStringTest[1]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","transformSpecialtyReturnsStringTest[1]"
"","0","testMethodCompareFirstBigger","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","UrzhumovaTests.WhaleTest","UrzhumovaTests.WhaleTest","testMethodCompareFirstBigger"
"","28","testCalculateHours","","Tue Dec 17 18:45:03 MSK 2024","passed","Tue Dec 17 18:45:03 MSK 2024","","AntonovTest.AntonovTest","AntonovTest.AntonovTest","testCalculateHours"
"","1","testSwimOutput","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","StrelnikovTests.StrelnikovTests","StrelnikovTests.StrelnikovTests","testSwimOutput"
"","0","testSetAgeIncorrect","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testSetAgeIncorrect"
"","0","testSnakeDefaultLength","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeDefaultLength"
"","0","testStudentInfo_ReturnsCorrectCourse","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.StudentInfoTests","gusevtests.StudentInfoTests","testStudentInfo_ReturnsCorrectCourse"
"","0","testRatSetWeightNegative","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatSetWeightNegative"
"","39","testMethodOne","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","irinabigtests.AlexTests","irinabigtests.AlexTests","testMethodOne"
"","0","nameOfSpecialtyChangeAfterCallingTransformTest[3]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","nameOfSpecialtyChangeAfterCallingTransformTest[3]"
"","0","testStudentInfo_ReturnsNotCorrect_NameOfTheSpecialityInLowercase","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.StudentInfoTests","gusevtests.StudentInfoTests","testStudentInfo_ReturnsNotCorrect_NameOfTheSpecialityInLowercase"
"","0","testGetSportReturnItems2","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","Yumashkin.YumashkinTests","Yumashkin.YumashkinTests","testGetSportReturnItems2"
"","0","testStudentInfo_ReturnsNotCorrect_Name","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.StudentInfoTests","gusevtests.StudentInfoTests","testStudentInfo_ReturnsNotCorrect_Name"
"","1","CheckTrueCatTest","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gavrilovtests.CatsTests","gavrilovtests.CatsTests","CheckTrueCatTest"
"","0","testGenerateEvenNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakimovichTests.CalculateTests","yakimovichTests.CalculateTests","testGenerateEvenNumbers"
"","0","transformSpecialtyReturnsStringTest[0]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","transformSpecialtyReturnsStringTest[0]"
"","0","testRatFeedNegativeAmount","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatFeedNegativeAmount"
"","1","testCalculateCourse_22To23Age_ReturnsFour","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CalculateCourseTests","gusevtests.CalculateCourseTests","testCalculateCourse_22To23Age_ReturnsFour"
"","1","testGetSportReturnItems1","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","Yumashkin.YumashkinTests","Yumashkin.YumashkinTests","testGetSportReturnItems1"
"","1","testMethodFood","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","UrzhumovaTests.WhaleTest","UrzhumovaTests.WhaleTest","testMethodFood"
"","11","testIntroduce","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","PortovTest.PortovTests","PortovTest.PortovTests","testIntroduce"
"","5","checkBirthdayReturnsAgeTest[0]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CheckBirthdayTests","gusevtests.CheckBirthdayTests","checkBirthdayReturnsAgeTest[0]"
"","2","testSetFalseBirthDate","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ChernyshovaTests.MouseTest","ChernyshovaTests.MouseTest","testSetFalseBirthDate"
"","0","testSnakeParameterizedAge","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeParameterizedAge"
"","0","testMethodTwo","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","Tovstogan.TovstoganTests","Tovstogan.TovstoganTests","testMethodTwo"
"","0","testSnakeDefaultAge","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeDefaultAge"
"","1","testDivide","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakimovichTests.CalculateTests","yakimovichTests.CalculateTests","testDivide"
"","0","testCalculateCourse_20To21Age_ReturnsThree","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CalculateCourseTests","gusevtests.CalculateCourseTests","testCalculateCourse_20To21Age_ReturnsThree"
"","2","testMultiplyPositiveNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BaranovTest.BaranovTest","BaranovTest.BaranovTest","testMultiplyPositiveNumbers"
"","1","testMultiply","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakimovichTests.CalculateTests","yakimovichTests.CalculateTests","testMultiply"
"","5","testMultipleBirthdays","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","PortovTest.PortovTests","PortovTest.PortovTests","testMultipleBirthdays"
"","0","CheckFalseCatTest","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gavrilovtests.CatsTests","gavrilovtests.CatsTests","CheckFalseCatTest"
"","0","testMethodCompareEqual","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","UrzhumovaTests.WhaleTest","UrzhumovaTests.WhaleTest","testMethodCompareEqual"
"","0","testSetName","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testSetName"
"","2","testDefaultMeow","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","DemidovaTest.MeowTest","DemidovaTest.MeowTest","testDefaultMeow"
"","0","testGetFoodReturnsFoodForHerbivore","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","irinabigtests.AnimalTests","irinabigtests.AnimalTests","testGetFoodReturnsFoodForHerbivore"
"","0","checkBirthdayReturnsAgeTest[4]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CheckBirthdayTests","gusevtests.CheckBirthdayTests","checkBirthdayReturnsAgeTest[4]"
"","1","nameOfSpecialtyChangeAfterCallingTransformTest[1]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","nameOfSpecialtyChangeAfterCallingTransformTest[1]"
"","24","testLosePts","","Tue Dec 17 18:45:03 MSK 2024","passed","Tue Dec 17 18:45:03 MSK 2024","","AntonovTest.AntonovTest","AntonovTest.AntonovTest","testLosePts"
"","0","testCalculateCourse_24Age_ReturnsZero","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CalculateCourseTests","gusevtests.CalculateCourseTests","testCalculateCourse_24Age_ReturnsZero"
"","9","testHowl","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testHowl"
"","0","testSetWeightIncorrect","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testSetWeightIncorrect"
"","0","testHaveBirthday","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","PortovTest.PortovTests","PortovTest.PortovTests","testHaveBirthday"
"","0","testAddNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","RavilovaTest.RavilovaTest","RavilovaTest.RavilovaTest","testAddNumbers"
"","0","AgeDateAfterToday0","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakovleva.DeerTests","yakovleva.DeerTests","AgeDateAfterToday0"
"","2","testFindMax","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","RavilovaTest.RavilovaTest","RavilovaTest.RavilovaTest","testFindMax"
"","8","GetInitialsNameSurname","","Tue Dec 17 18:45:03 MSK 2024","passed","Tue Dec 17 18:45:03 MSK 2024","","BaoTest.BaoTests","BaoTest.BaoTests","GetInitialsNameSurname"
"","2","testCountWords","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","RavilovaTest.RavilovaTest","RavilovaTest.RavilovaTest","testCountWords"
"","13","testAgeCalculate","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ChernyshovaTests.MouseTest","ChernyshovaTests.MouseTest","testAgeCalculate"
"","1","testSealDefaultConstructor","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","smirnovaTest.SealTest","smirnovaTest.SealTest","testSealDefaultConstructor"
"","0","testMultiplyPositiveAndNegativeNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BaranovTest.BaranovTest","BaranovTest.BaranovTest","testMultiplyPositiveAndNegativeNumbers"
"","0","testMultiplyNegativeNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BaranovTest.BaranovTest","BaranovTest.BaranovTest","testMultiplyNegativeNumbers"
"","0","testMethodTwo","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","irinabigtests.AlexTests","irinabigtests.AlexTests","testMethodTwo"
"","0","nameOfSpecialtyChangeAfterCallingTransformTest[2]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.TransformSpecialityTests","gusevtests.TransformSpecialityTests","nameOfSpecialtyChangeAfterCallingTransformTest[2]"
"","0","testRatGetName","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatGetName"
"","0","testSnakeParameterizedLength","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeParameterizedLength"
"","0","testMethodCompareSecondBigger","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","UrzhumovaTests.WhaleTest","UrzhumovaTests.WhaleTest","testMethodCompareSecondBigger"
"","1","testInitialValues","","Tue Dec 17 18:45:03 MSK 2024","passed","Tue Dec 17 18:45:03 MSK 2024","","AntonovTest.AntonovTest","AntonovTest.AntonovTest","testInitialValues"
"","1","testStudentInfo_ReturnsNotCorrectCourseAndNameOfTheSpecialityInLowercase","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.StudentInfoTests","gusevtests.StudentInfoTests","testStudentInfo_ReturnsNotCorrectCourseAndNameOfTheSpecialityInLowercase"
"","18","testDrinkCoffee","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","petrovTests.petrovTest","petrovTests.petrovTest","testDrinkCoffee"
"","0","testCalculateSum","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","FokinTests.FokinTests","FokinTests.FokinTests","testCalculateSum"
"","3","testCalculateCourse_15Age_ReturnsZero","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CalculateCourseTests","gusevtests.CalculateCourseTests","testCalculateCourse_15Age_ReturnsZero"
"","22","testGetInfo","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BuravlevTest.BuravlevTest","BuravlevTest.BuravlevTest","testGetInfo"
"","1","testRatSetName","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","HrustaliovaTests.RatsTests","HrustaliovaTests.RatsTests","testRatSetName"
